cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,polintr,trstprl,trstplt,vote,lrscale,gincdif,imbgeco,imueclt,imwbcnt,gndr,agea,eisced,eduyrs,mnactic
DE,ESS1-8e01,1.0,12.12.2018,71433,ESS2e03_6,2,3.6,196122,1.2465,2.07425463492609,2.45294567944251,3,88,6,1,4,4,5,4,3,2,58,2,8,1
DE,ESS1-8e01,1.0,12.12.2018,71434,ESS2e03_6,2,3.6,196125,1.2465,1.12373172026236,2.45294567944251,3,5,3,1,5,2,3,5,3,2,32,3,13,1
DE,ESS1-8e01,1.0,12.12.2018,71435,ESS2e03_6,2,3.6,196128,1.2465,1.12373172026236,2.45294567944251,2,6,5,2,5,2,2,8,7,2,22,4,16,9
DE,ESS1-8e01,1.0,12.12.2018,71436,ESS2e03_6,2,3.6,196131,1.2465,0.994706366656172,2.45294567944251,1,8,4,1,6,4,7,6,5,1,28,5,15,2
DE,ESS1-8e01,1.0,12.12.2018,71437,ESS2e03_6,2,3.6,196134,1.2465,2.07425463492609,2.45294567944251,2,4,2,1,6,4,4,6,4,2,77,2,8,6
DE,ESS1-8e01,1.0,12.12.2018,71438,ESS2e03_6,2,3.6,196205,1.2465,1.22516603721158,2.45294567944251,4,4,2,3,5,4,3,4,4,2,19,2,10,1
DE,ESS1-8e01,1.0,12.12.2018,71439,ESS2e03_6,2,3.6,196208,1.2465,0.849292893468597,2.45294567944251,2,4,2,1,4,4,4,6,4,1,45,7,18,1
DE,ESS1-8e01,1.0,12.12.2018,71440,ESS2e03_6,2,3.6,196214,1.2465,1.22516603721158,2.45294567944251,3,5,2,3,5,2,3,7,5,2,25,1,4,3
DE,ESS1-8e01,1.0,12.12.2018,71441,ESS2e03_6,2,3.6,196223,1.2465,1.12373172026236,2.45294567944251,4,3,0,2,3,2,0,5,5,2,32,3,8,8
DE,ESS1-8e01,1.0,12.12.2018,71442,ESS2e03_6,2,3.6,196232,1.2465,0.8182753308778,2.45294567944251,2,5,2,1,5,4,3,6,4,2,47,3,13,1
DE,ESS1-8e01,1.0,12.12.2018,71443,ESS2e03_6,2,3.6,196303,1.2465,1.09799514701948,2.45294567944251,2,6,6,1,2,2,5,7,7,1,21,4,13,9
DE,ESS1-8e01,1.0,12.12.2018,71444,ESS2e03_6,2,3.6,196315,1.2465,1.09799514701948,2.45294567944251,3,4,2,1,5,3,3,6,4,1,32,3,12,1
DE,ESS1-8e01,1.0,12.12.2018,71445,ESS2e03_6,2,3.6,196318,1.2465,0.97836946377701,2.45294567944251,2,4,2,1,5,5,5,6,5,2,78,3,11,6
DE,ESS1-8e01,1.0,12.12.2018,71446,ESS2e03_6,2,3.6,196321,1.2465,1.09799514701948,2.45294567944251,3,4,4,1,2,2,6,7,5,1,20,4,13,2
DE,ESS1-8e01,1.0,12.12.2018,71447,ESS2e03_6,2,3.6,196324,1.2465,1.22516603721158,2.45294567944251,4,1,2,2,5,3,3,5,5,2,17,2,10,2
DE,ESS1-8e01,1.0,12.12.2018,71448,ESS2e03_6,2,3.6,196336,1.2465,0.8182753308778,2.45294567944251,3,5,2,2,5,2,4,7,4,2,40,3,10,1
DE,ESS1-8e01,1.0,12.12.2018,71449,ESS2e03_6,2,3.6,197104,1.2465,1.15936483932406,2.45294567944251,2,2,1,2,5,2,2,2,2,1,53,3,11,1
DE,ESS1-8e01,1.0,12.12.2018,71450,ESS2e03_6,2,3.6,197110,1.2465,0.849292893468597,2.45294567944251,2,6,2,1,4,4,7,5,5,1,48,7,22,1
DE,ESS1-8e01,1.0,12.12.2018,71451,ESS2e03_6,2,3.6,197113,1.2465,1.26322198583948,2.45294567944251,3,2,2,1,5,4,7,9,7,1,20,2,14,2
DE,ESS1-8e01,1.0,12.12.2018,71452,ESS2e03_6,2,3.6,197116,1.2465,1.26322198583948,2.45294567944251,3,7,6,3,5,3,6,7,5,1,17,1,11,2
DE,ESS1-8e01,1.0,12.12.2018,71453,ESS2e03_6,2,3.6,197119,1.2465,0.855380121725142,2.45294567944251,1,6,6,1,4,4,7,5,4,1,61,7,20,1
DE,ESS1-8e01,1.0,12.12.2018,71454,ESS2e03_6,2,3.6,197122,1.2465,0.8182753308778,2.45294567944251,1,3,3,2,7,2,0,0,3,2,51,3,11,6
DE,ESS1-8e01,1.0,12.12.2018,71455,ESS2e03_6,2,3.6,197131,1.2465,1.11991650403951,2.45294567944251,4,0,0,2,8,5,0,0,0,1,68,3,11,6
DE,ESS1-8e01,1.0,12.12.2018,71456,ESS2e03_6,2,3.6,197202,1.2465,0.862769437696681,2.45294567944251,2,8,3,1,5,3,6,8,6,2,58,5,11,8
DE,ESS1-8e01,1.0,12.12.2018,71457,ESS2e03_6,2,3.6,197205,1.2465,1.09799514701948,2.45294567944251,4,1,2,1,7,2,8,5,3,1,31,3,12,1
DE,ESS1-8e01,1.0,12.12.2018,71458,ESS2e03_6,2,3.6,197211,1.2465,0.8182753308778,2.45294567944251,3,2,0,2,5,2,0,5,0,2,41,3,12,8
